beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1624646790.001243000,1624646820.001243000,30.000000000,32217.01,32204.22,32222.11,32107.62,5173.95306144,0.160642,13
1624646820.030437000,1624646850.030437000,30.000000000,32204.22,32199.66,32207.75,32187.53,3499.72459539,0.108702,7
1624646850.002806000,1624646880.002806000,30.000000000,32199.66,32173.53,32212.69,32107.62,2029.74881059,0.063053,6
1624646880.005783000,1624646910.005783000,30.000000000,32173.53,32166.88,32179.86,32158.4,3999.52630754,0.124328,8
1624646910.002001000,1624646940.002001000,30.000000000,32166.88,32155.61,32175.14,32107.62,4400.49468727,0.136817,13
1624646940.002863000,1624646970.002863000,30.000000000,32155.61,32158.54,32173.21,32153.22,4999.36766275,0.155461,10
1624646970.002308000,1624647000.002308000,30.000000000,32158.54,32147.48,32167.12,32107.62,5085.05919888,0.158233,14
1624647000.002191000,1624647030.002191000,30.000000000,32147.48,32128.49,32158.4,32126.54,6549.54654959,0.203799,14
1624647030.002177000,1624647060.002177000,30.000000000,32128.49,32107.62,32379.45,32107.62,9613.93711055,0.299296,28
1624647060.002279000,1624647090.002279000,30.000000000,32107.62,32107.62,32122.63,32107.62,11045.41799733,0.344005,23
1624647090.002098000,1624647120.002098000,30.000000000,32107.62,32107.62,32248.0,32107.62,15068.29977318,0.469304,32
1624647120.003938000,1624647150.003938000,30.000000000,32107.62,32078.95,32107.62,32059.28,11511.80271364,0.358631,26
1624647150.002450000,1624647180.002450000,30.000000000,32078.95,32128.38,32128.38,32000.0,3514.39256053,0.109439,9
1624647180.002739000,1624647210.002739000,30.000000000,32128.38,32142.84,32142.84,32086.81,6998.68370778,0.21788,14
1624647210.004445000,1624647240.004445000,30.000000000,32142.84,32170.89,32172.99,32000.0,7049.30513878,0.219199,18
1624647240.003272000,1624647270.003272000,30.000000000,32170.89,32177.49,32180.0,32150.16,6999.42442679,0.217608,15
1624647270.006736000,1624647300.006736000,30.000000000,32177.49,32163.93,32193.96,32157.27,4029.73400732,0.125238,11
1624647300.003204000,1624647330.003204000,30.000000000,32163.93,32188.55,32188.55,32160.98,4519.26201683,0.14045,10
1624647330.002240000,1624647360.002240000,30.000000000,32188.55,32164.05,32195.58,32164.05,5519.98389039,0.171524,14
1624647360.002420000,1624647390.002420000,30.000000000,32164.05,32217.39,32217.39,32163.13,7542.14064866,0.234231,17
1624647390.002882000,1624647420.002882000,30.000000000,32217.39,32199.31,32217.39,32100.0,4099.47849239,0.127323,13
1624647420.002591000,1624647450.002591000,30.000000000,32199.31,32185.57,32200.0,32185.57,1519.66500376,0.047209,4
