beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1625512380.000850000,1625512440.000850000,60.000000000,34167.95,34140.0,34168.82,34139.54,3978.54842321,0.116503,8
1625512440.026193000,1625512500.026193000,60.000000000,34140.0,34101.67,34464.14,34097.87,14363.68224212,0.417933,29
1625512500.002866000,1625512560.002866000,60.000000000,34101.67,34091.44,34111.14,34091.44,3000.15284824,0.087985,6
1625512560.004701000,1625512620.004701000,60.000000000,34091.44,34114.38,34131.74,34091.44,4001.4506873,0.117273,7
1625512620.002627000,1625512680.002627000,60.000000000,34114.38,34124.37,34130.59,34114.38,3977.99216482,0.116563,8
1625512680.002412000,1625512740.002412000,60.000000000,34124.37,34141.9,34146.91,34124.37,1000.08962245,0.02929,2
1625512740.002163000,1625512800.002163000,60.000000000,34141.9,34498.6,34498.6,34134.44,3007.75704411,0.087778,7
1625512800.001893000,1625512860.001893000,60.000000000,34498.6,34133.09,34498.6,34123.93,5000.47859637,0.146496,10
1625512860.001703000,1625512920.001703000,60.000000000,34133.09,34498.6,34498.6,34133.09,202.1272974,0.005859,1
1625512920.002421000,1625512980.002421000,60.000000000,34498.6,34122.8,34498.6,34122.8,3978.06186254,0.116568,8
1625512980.002347000,1625513040.002347000,60.000000000,34122.8,34108.76,34122.8,34108.76,1977.76961984,0.057975,4
1625513040.002186000,1625513100.002186000,60.000000000,34108.76,34116.35,34119.26,34108.76,2500.25393418,0.073285,5
1625513100.001979000,1625513160.001979000,60.000000000,34116.35,34212.11,34212.11,34112.12,4136.12372092,0.121156,10
1625513160.001849000,1625513220.001849000,60.000000000,34212.11,34185.41,34260.77,34185.41,7608.31427414,0.222406,16
1625513220.002051000,1625513280.002051000,60.000000000,34185.41,34116.45,34185.41,34116.45,5371.7137628,0.157286,11
