beginTime,endTime,timePeriod,openPrice,closePrice,highPrice,lowPrice,amount,volume,trades
1625506740.001529000,1625506770.001529000,30.000000000,33396.0,33579.0,33579.0,33381.19,1223.13322239,0.036616,9
1625506770.026704000,1625506800.026704000,30.000000000,33579.0,33433.34,33579.0,33388.61,1500.95618974,0.044933,4
1625506800.003410000,1625506830.003410000,30.000000000,33433.34,33390.98,33579.0,33390.98,2335.92766564,0.069854,5
1625506830.005570000,1625506860.005570000,30.000000000,33390.98,33400.1,33400.9,33390.98,1501.9119739,0.044971,5
1625506860.002759000,1625506890.002759000,30.000000000,33400.1,33391.96,33413.91,33391.96,3000.33455826,0.089835,6
1625506890.002786000,1625506920.002786000,30.000000000,33391.96,33393.14,33405.39,33391.96,3001.26458614,0.089861,7
1625506920.002703000,1625506950.002703000,30.000000000,33393.14,33579.0,33579.0,33388.8,1336.6863576,0.039977,4
1625506950.003146000,1625506980.003146000,30.000000000,33579.0,33623.56,33623.56,33579.0,3461.52298304,0.102974,3
1625506980.002047000,1625507010.002047000,30.000000000,33623.56,33623.56,33623.56,33139.79,5190.48337811,0.155947,19
